CustomerID,TenureMonths,ContractType,PaymentMethod,MonthlyCharges,TotalCharges,TechSupportTickets,DaysSinceLastLogin,DiscountUsed,Churn,FutureLTV_12M
CUST-1044,44,Month-to-Month,Electronic Check,22.97,979.17,0,7,0,1,30.16
CUST-1045,8,Month-to-Month,Credit Card,27.17,200.95,6,43,0,1,49.07
CUST-1046,47,Month-to-Month,Electronic Check,85.99,3790.1,1,20,0,1,88.18
CUST-1047,35,Two Year,Credit Card,63.16,2111.41,1,7,0,0,784.45
CUST-1048,36,Month-to-Month,Credit Card,96.36,3158.26,5,27,0,1,134.71
CUST-1049,50,Month-to-Month,Electronic Check,119.26,5889.36,0,15,0,1,153.44
CUST-1050,4,Two Year,Mailed Check,85.9,340.55,2,9,1,0,1143.07
CUST-1051,2,Month-to-Month,Electronic Check,25.05,45.56,2,14,0,1,14.04
CUST-1052,6,Month-to-Month,Mailed Check,30.46,175.51,1,3,1,1,40.98
CUST-1053,54,One Year,Electronic Check,108.1,5616.16,3,25,0,1,73.78
CUST-1054,4,Two Year,Electronic Check,72.75,276.47,3,14,1,1,70.77
CUST-1055,54,Month-to-Month,Electronic Check,102.48,5443.5,2,35,0,1,152.95
CUST-1056,63,Month-to-Month,Mailed Check,105.66,6336.36,1,31,0,1,77.78
CUST-1057,18,Month-to-Month,Credit Card,112.77,1953.66,1,42,0,1,108.63
CUST-1058,44,Month-to-Month,Credit Card,114.98,5158.42,6,37,1,1,178.74
CUST-1059,34,One Year,Bank Transfer,75.48,2372.09,3,3,0,1,111.42
CUST-1060,62,Month-to-Month,Mailed Check,54.1,3330.28,2,40,0,1,34.44
CUST-1061,14,Month-to-Month,Credit Card,116.19,1587.36,4,8,1,1,158.7
CUST-1062,48,Month-to-Month,Electronic Check,74.74,3392.94,0,34,0,1,53.88
CUST-1063,15,One Year,Bank Transfer,26.43,400.07,0,27,0,1,23.22
CUST-1064,62,Month-to-Month,Credit Card,84.28,5134.85,2,36,0,1,100.19
CUST-1065,40,Two Year,Electronic Check,78.77,3061.33,2,8,0,0,806.23
CUST-1066,53,Month-to-Month,Bank Transfer,109.58,5808.61,2,1,0,1,218.12
CUST-1067,24,Two Year,Credit Card,85.32,2089.34,0,2,0,0,907.87
CUST-1068,26,Two Year,Credit Card,54.91,1493.19,2,43,1,0,634.92
CUST-1069,60,Month-to-Month,Bank Transfer,116.62,6958.03,4,4,1,1,203.47
CUST-1070,41,Month-to-Month,Electronic Check,100.16,4234.55,5,9,0,1,199.49
CUST-1071,29,Month-to-Month,Electronic Check,83.04,2167.74,1,27,0,1,94.91
CUST-1072,15,Month-to-Month,Electronic Check,49.29,724.22,2,14,1,1,89.27
CUST-1073,45,Month-to-Month,Bank Transfer,57.35,2405.77,0,13,1,0,699.09
CUST-1074,65,Month-to-Month,Electronic Check,87.0,5169.4,1,22,1,1,66.06
CUST-1075,71,Month-to-Month,Credit Card,27.2,1892.18,0,12,0,1,33.16
CUST-1076,9,Two Year,Electronic Check,45.67,415.97,1,15,1,0,606.2
CUST-1077,1,Month-to-Month,Electronic Check,91.39,87.9,4,29,1,1,130.79
CUST-1078,8,Two Year,Mailed Check,68.0,544.28,2,39,0,0,817.93
CUST-1079,63,Month-to-Month,Bank Transfer,60.24,3694.39,3,7,0,1,48.56
CUST-1080,11,Two Year,Electronic Check,35.15,373.33,4,16,0,0,429.98
CUST-1081,8,One Year,Mailed Check,64.18,484.45,2,29,0,1,35.68
CUST-1082,35,Month-to-Month,Mailed Check,97.07,3252.68,1,16,1,1,165.93
CUST-1083,35,One Year,Electronic Check,46.4,1546.81,2,34,1,1,25.05
CUST-1084,33,Month-to-Month,Electronic Check,20.54,675.74,4,0,1,1,30.51
CUST-1085,5,Month-to-Month,Credit Card,86.85,398.38,2,23,1,1,53.69
CUST-1086,41,Two Year,Mailed Check,117.26,4393.7,3,24,0,1,102.82
CUST-1087,28,Month-to-Month,Electronic Check,80.68,2256.79,1,1,0,1,127.71
CUST-1088,7,Month-to-Month,Credit Card,31.99,219.89,2,24,1,1,29.45
CUST-1089,12,One Year,Credit Card,52.07,602.68,0,13,0,0,673.43
CUST-1090,34,Two Year,Bank Transfer,106.76,3349.86,5,38,0,0,1132.53
CUST-1091,33,One Year,Mailed Check,43.26,1372.84,2,32,0,0,595.52
CUST-1092,48,Month-to-Month,Credit Card,80.77,3948.53,2,16,0,1,138.65
CUST-1093,23,One Year,Credit Card,60.27,1432.57,5,30,1,1,36.04
CUST-1094,62,Month-to-Month,Bank Transfer,40.78,2541.98,0,9,0,1,28.15
CUST-1095,37,One Year,Mailed Check,101.34,3408.32,3,5,0,1,68.81
CUST-1096,44,Two Year,Mailed Check,94.28,4150.65,0,38,1,0,1260.92
CUST-1097,35,One Year,Bank Transfer,86.16,2823.05,2,24,1,0,1040.3
CUST-1098,65,Two Year,Electronic Check,43.63,2686.46,5,37,1,0,548.92
CUST-1099,47,Month-to-Month,Mailed Check,29.79,1301.25,0,36,0,1,59.17
CUST-1100,3,One Year,Credit Card,77.62,236.67,0,29,1,1,83.49
CUST-1101,1,Two Year,Bank Transfer,75.37,75.17,2,33,1,1,109.03
CUST-1102,5,Month-to-Month,Mailed Check,38.84,192.6,1,17,0,1,64.81
CUST-1103,14,Two Year,Bank Transfer,25.62,358.75,5,23,1,1,27.9
CUST-1104,27,Month-to-Month,Electronic Check,28.07,709.02,3,26,0,1,20.85
CUST-1105,9,One Year,Mailed Check,119.28,1037.77,1,26,1,1,137.25
CUST-1106,15,Two Year,Bank Transfer,98.36,1468.01,2,38,0,1,163.06
CUST-1107,42,One Year,Electronic Check,112.2,4691.14,0,20,0,0,1442.63
CUST-1108,51,Month-to-Month,Electronic Check,39.51,2052.85,1,18,0,1,33.42
CUST-1109,63,One Year,Credit Card,116.06,6895.49,5,38,0,1,88.49
CUST-1110,52,Month-to-Month,Electronic Check,34.27,1809.75,0,22,0,1,64.46
CUST-1111,4,Two Year,Electronic Check,70.91,274.0,1,38,1,1,40.13
CUST-1112,23,Month-to-Month,Credit Card,102.97,2369.56,4,43,1,1,164.97
CUST-1113,15,Month-to-Month,Bank Transfer,54.98,798.6,3,14,1,1,31.32
CUST-1114,43,One Year,Bank Transfer,62.48,2800.26,5,42,0,1,109.77
CUST-1115,29,Month-to-Month,Credit Card,32.82,882.2,0,1,1,1,60.98
CUST-1116,36,One Year,Electronic Check,32.29,1163.89,1,34,0,0,399.2
CUST-1117,13,One Year,Bank Transfer,81.96,1051.07,3,19,1,1,50.07
CUST-1118,32,Two Year,Mailed Check,87.55,2594.03,1,27,0,1,106.9
CUST-1119,71,One Year,Credit Card,97.73,6313.65,3,14,0,1,92.62
CUST-1120,59,Month-to-Month,Mailed Check,75.67,4553.25,0,15,1,1,85.18
CUST-1121,28,Month-to-Month,Bank Transfer,84.58,2187.35,1,32,1,1,126.66
CUST-1122,66,Month-to-Month,Mailed Check,21.35,1307.61,0,11,1,1,17.39
CUST-1123,42,Month-to-Month,Mailed Check,36.22,1592.38,2,38,1,1,37.5
CUST-1124,45,Month-to-Month,Bank Transfer,118.49,5372.52,4,38,0,1,198.33
CUST-1125,62,One Year,Bank Transfer,27.6,1604.37,1,42,1,0,287.35
CUST-1126,57,One Year,Bank Transfer,87.88,4952.27,2,19,0,1,86.95
CUST-1127,6,Month-to-Month,Mailed Check,37.61,221.17,1,28,0,1,56.28
CUST-1128,28,Two Year,Mailed Check,91.67,2635.22,1,42,0,0,1028.49
CUST-1129,28,Two Year,Bank Transfer,90.6,2560.64,3,2,0,1,125.82
CUST-1130,44,Two Year,Credit Card,43.42,1957.78,1,4,1,0,452.19
CUST-1131,30,One Year,Bank Transfer,46.96,1312.62,0,1,0,0,641.29
CUST-1132,62,Month-to-Month,Credit Card,85.48,5278.74,1,22,0,1,145.68
CUST-1133,62,Month-to-Month,Credit Card,59.01,3314.84,4,25,0,1,102.32
CUST-1134,1,Month-to-Month,Mailed Check,39.45,35.91,3,25,0,1,61.01
CUST-1135,27,Month-to-Month,Bank Transfer,93.17,2533.27,1,6,1,1,57.29
CUST-1136,62,Two Year,Credit Card,35.41,1983.92,1,9,1,0,373.57
CUST-1137,3,Two Year,Bank Transfer,105.56,312.55,2,4,0,1,182.78
CUST-1138,70,Month-to-Month,Credit Card,71.47,5133.28,0,11,0,1,77.51
CUST-1139,27,Month-to-Month,Bank Transfer,30.57,789.89,1,31,0,1,24.36
CUST-1140,9,Two Year,Mailed Check,89.41,729.63,4,41,1,1,123.51
CUST-1141,62,Month-to-Month,Electronic Check,71.92,4490.6,1,30,0,1,125.1
CUST-1142,37,Month-to-Month,Mailed Check,49.81,1915.68,3,21,0,1,28.56
CUST-1143,51,Two Year,Credit Card,62.25,3198.8,5,16,1,0,700.6
CUST-1144,44,Month-to-Month,Bank Transfer,49.83,2163.51,2,19,0,1,72.99
CUST-1145,24,Month-to-Month,Mailed Check,46.3,1038.42,1,19,1,1,64.98
CUST-1146,59,Month-to-Month,Credit Card,36.36,1935.66,1,42,0,1,53.63
CUST-1147,32,Two Year,Mailed Check,56.28,1808.53,0,7,1,0,748.44
CUST-1148,52,One Year,Mailed Check,45.1,2191.95,3,33,0,1,31.37
CUST-1149,62,Month-to-Month,Bank Transfer,88.34,5634.41,1,22,0,1,75.3
CUST-1150,58,Month-to-Month,Bank Transfer,88.39,4972.59,2,37,0,1,126.26
CUST-1151,52,Month-to-Month,Electronic Check,70.18,3574.9,2,27,1,1,36.95
CUST-1152,12,One Year,Mailed Check,97.79,1188.84,1,12,1,0,1191.66
CUST-1153,39,One Year,Mailed Check,104.13,4129.76,3,28,0,1,156.0
CUST-1154,2,Month-to-Month,Electronic Check,77.98,155.4,2,7,1,1,66.97
CUST-1155,3,Two Year,Mailed Check,81.89,255.68,2,10,1,0,1046.23
CUST-1156,56,Month-to-Month,Mailed Check,48.29,2832.27,2,44,1,1,62.83
CUST-1157,59,Month-to-Month,Electronic Check,109.49,6731.44,0,17,1,1,97.56
CUST-1158,2,Month-to-Month,Mailed Check,22.42,45.9,0,24,0,1,26.78
CUST-1159,2,Month-to-Month,Electronic Check,54.86,110.36,1,21,1,1,102.28
CUST-1160,54,Month-to-Month,Mailed Check,92.18,4975.23,0,44,0,1,105.08
CUST-1161,1,Month-to-Month,Credit Card,28.01,25.64,2,34,0,1,40.47
CUST-1162,19,Month-to-Month,Bank Transfer,38.32,684.92,4,28,0,1,21.19
CUST-1163,2,One Year,Electronic Check,78.93,142.21,2,20,1,1,48.68
CUST-1164,53,Month-to-Month,Electronic Check,76.0,3708.22,4,6,1,1,47.27
CUST-1165,44,One Year,Electronic Check,93.89,3990.22,3,11,1,1,156.55
CUST-1166,32,Two Year,Mailed Check,101.26,2987.51,6,35,1,1,103.83
CUST-1167,70,Month-to-Month,Electronic Check,32.86,2381.28,2,23,1,1,27.65
CUST-1168,32,Month-to-Month,Mailed Check,21.84,713.46,3,31,0,1,35.4
CUST-1169,68,Month-to-Month,Electronic Check,88.96,5509.33,3,26,0,1,67.16
CUST-1170,55,Month-to-Month,Credit Card,50.14,2584.89,1,31,0,1,43.61
CUST-1171,56,Month-to-Month,Electronic Check,82.6,4731.34,4,31,0,1,94.69
CUST-1172,17,One Year,Electronic Check,35.05,608.04,1,31,0,1,34.95
CUST-1173,38,One Year,Credit Card,66.9,2648.51,0,25,0,0,806.44
CUST-1174,24,Month-to-Month,Electronic Check,70.44,1774.47,1,10,1,1,70.92
CUST-1175,69,Two Year,Electronic Check,78.51,5668.77,2,17,1,0,1082.62
CUST-1176,70,Month-to-Month,Mailed Check,71.32,4800.3,1,38,0,1,127.97
CUST-1177,11,Two Year,Mailed Check,69.57,717.48,1,4,1,0,823.04
CUST-1178,16,One Year,Bank Transfer,53.27,864.05,6,15,0,1,92.77
CUST-1179,59,One Year,Electronic Check,27.12,1511.9,2,10,1,0,310.72
CUST-1180,70,Month-to-Month,Mailed Check,28.95,2068.98,1,34,0,1,39.22
CUST-1181,3,Month-to-Month,Electronic Check,63.38,186.35,1,10,0,1,93.13
CUST-1182,20,Two Year,Electronic Check,55.58,1132.82,2,41,1,0,679.17
CUST-1183,59,Month-to-Month,Credit Card,71.61,3977.33,2,22,0,1,120.19
CUST-1184,36,Two Year,Bank Transfer,50.48,1774.04,3,33,0,0,566.96
CUST-1185,19,Month-to-Month,Electronic Check,88.79,1661.04,2,16,0,1,59.19
CUST-1186,67,Month-to-Month,Mailed Check,106.4,7424.4,1,9,1,1,182.41
CUST-1187,19,Month-to-Month,Electronic Check,49.89,891.03,4,17,1,1,81.86
CUST-1188,20,Month-to-Month,Credit Card,39.3,817.84,4,43,0,1,68.01
CUST-1189,71,Two Year,Electronic Check,31.62,2291.56,2,7,1,0,425.87
CUST-1190,52,Month-to-Month,Electronic Check,81.63,4285.65,3,25,0,1,74.07
CUST-1191,33,Month-to-Month,Mailed Check,64.39,2163.18,3,2,0,1,60.76
CUST-1192,40,Month-to-Month,Mailed Check,38.8,1537.74,2,23,0,1,48.97
CUST-1193,39,Month-to-Month,Mailed Check,85.31,3116.19,1,2,1,1,59.79
CUST-1194,1,Month-to-Month,Electronic Check,34.85,32.36,0,37,0,1,37.57
CUST-1195,11,Month-to-Month,Electronic Check,75.43,854.58,1,1,0,1,58.33
CUST-1196,57,Two Year,Mailed Check,72.71,4180.82,0,34,0,0,789.4
CUST-1197,50,Month-to-Month,Electronic Check,93.42,4353.28,0,16,0,1,145.7
CUST-1198,23,Month-to-Month,Credit Card,25.51,582.19,2,8,1,1,45.46
CUST-1199,31,Month-to-Month,Electronic Check,108.79,3261.64,2,35,0,1,58.13
CUST-1200,42,Month-to-Month,Mailed Check,90.3,3503.6,3,21,0,1,121.8
CUST-1201,7,Two Year,Bank Transfer,41.61,285.38,3,30,0,1,23.06
CUST-1202,16,Month-to-Month,Electronic Check,38.34,578.0,3,33,0,1,24.07
CUST-1203,60,Month-to-Month,Bank Transfer,63.17,3465.9,2,23,1,1,98.4
CUST-1204,2,One Year,Credit Card,101.76,197.42,2,8,0,1,163.16
CUST-1205,1,Month-to-Month,Electronic Check,104.29,103.09,1,42,0,1,179.48
CUST-1206,48,Month-to-Month,Credit Card,72.05,3136.89,0,1,0,1,87.28
CUST-1207,12,Two Year,Mailed Check,106.08,1222.44,4,20,0,1,189.85
CUST-1208,69,One Year,Electronic Check,20.54,1330.31,6,33,1,1,15.41
CUST-1209,37,Two Year,Mailed Check,23.52,787.22,0,26,1,0,277.17
CUST-1210,32,Month-to-Month,Electronic Check,111.18,3269.05,2,36,0,1,78.02
CUST-1211,9,Month-to-Month,Bank Transfer,97.53,808.3,2,6,0,1,165.44
CUST-1212,19,Month-to-Month,Bank Transfer,65.07,1146.61,2,21,1,1,54.85
CUST-1213,48,Month-to-Month,Credit Card,95.36,4671.14,1,3,1,1,69.92
CUST-1214,3,Two Year,Credit Card,115.56,334.87,2,13,0,1,165.79
CUST-1215,20,Month-to-Month,Bank Transfer,97.21,1792.67,2,33,1,1,59.84
CUST-1216,24,Two Year,Bank Transfer,104.24,2289.22,1,22,1,0,1078.52
CUST-1217,54,One Year,Electronic Check,96.06,4900.34,2,43,0,0,984.97
CUST-1218,33,Month-to-Month,Mailed Check,36.82,1239.0,2,41,0,1,18.42
CUST-1219,24,Month-to-Month,Electronic Check,103.36,2368.19,0,24,1,1,159.74
CUST-1220,36,One Year,Bank Transfer,39.51,1314.24,2,0,0,1,53.08
CUST-1221,38,Month-to-Month,Mailed Check,109.26,3988.37,2,14,1,1,89.03
CUST-1222,25,Two Year,Electronic Check,65.86,1619.0,3,31,1,0,832.6
CUST-1223,18,Month-to-Month,Electronic Check,87.7,1427.75,0,13,1,1,150.53
CUST-1224,66,Month-to-Month,Electronic Check,69.72,4574.58,1,40,0,1,87.34
CUST-1225,54,One Year,Mailed Check,29.4,1522.93,2,20,0,0,393.5
CUST-1226,35,Two Year,Mailed Check,49.07,1548.21,4,6,0,1,57.86
CUST-1227,61,Month-to-Month,Bank Transfer,118.37,7228.39,1,35,1,1,101.39
CUST-1228,41,Two Year,Mailed Check,116.07,4791.51,2,20,1,0,1469.57
CUST-1229,33,Month-to-Month,Bank Transfer,52.05,1707.9,3,39,1,1,70.19
CUST-1230,68,One Year,Electronic Check,119.63,7738.59,3,11,0,1,83.32
CUST-1231,33,One Year,Electronic Check,104.56,3379.54,1,14,1,1,115.97
CUST-1232,14,Month-to-Month,Mailed Check,81.1,1087.8,2,14,1,1,80.61
CUST-1233,21,Month-to-Month,Mailed Check,24.01,506.78,1,16,0,1,19.72
CUST-1234,48,One Year,Electronic Check,110.14,5220.83,2,33,0,0,1183.2
CUST-1235,20,Month-to-Month,Electronic Check,75.74,1381.91,2,43,1,1,137.95
CUST-1236,8,One Year,Electronic Check,106.85,851.78,2,34,1,1,85.34
CUST-1237,7,Month-to-Month,Mailed Check,103.44,726.31,1,38,1,1,106.36
CUST-1238,67,Two Year,Electronic Check,103.3,6613.84,3,37,0,0,1062.81
CUST-1239,17,One Year,Bank Transfer,89.82,1574.84,6,13,0,1,73.0
CUST-1240,33,Two Year,Credit Card,49.14,1664.52,1,4,1,0,501.59
CUST-1241,48,Month-to-Month,Electronic Check,53.62,2384.01,3,29,1,1,83.09
CUST-1242,59,One Year,Credit Card,50.85,3107.08,0,3,1,0,609.21
CUST-1243,22,One Year,Mailed Check,22.0,467.61,1,14,1,0,289.24
CUST-1244,30,Month-to-Month,Bank Transfer,78.26,2367.9,2,38,0,1,122.09
CUST-1245,38,Month-to-Month,Bank Transfer,89.88,3490.97,0,34,1,1,175.02
CUST-1246,51,Month-to-Month,Bank Transfer,105.39,5244.64,2,44,0,1,107.47
CUST-1247,54,One Year,Mailed Check,34.02,1763.35,1,9,0,0,435.21
CUST-1248,8,Month-to-Month,Mailed Check,74.42,617.58,1,1,0,1,39.64
CUST-1249,27,Month-to-Month,Electronic Check,20.8,524.89,1,43,1,1,19.39
CUST-1250,27,One Year,Electronic Check,29.51,747.8,2,23,1,1,16.91
CUST-1251,21,Month-to-Month,Electronic Check,25.42,509.39,0,27,0,1,37.54
CUST-1252,30,Month-to-Month,Electronic Check,92.55,2856.8,3,21,0,1,60.27
CUST-1253,28,Two Year,Electronic Check,28.11,819.21,0,43,1,0,292.8
CUST-1254,64,Two Year,Electronic Check,91.65,5472.66,0,31,0,0,1193.56
CUST-1255,69,Month-to-Month,Bank Transfer,44.96,3194.01,3,30,1,1,24.42
CUST-1256,61,Month-to-Month,Credit Card,107.77,6171.19,1,18,0,1,169.43
CUST-1257,48,One Year,Credit Card,101.31,5084.61,2,20,0,0,1189.76
CUST-1258,19,Month-to-Month,Mailed Check,115.78,2176.97,3,2,0,1,172.71
CUST-1259,4,Month-to-Month,Bank Transfer,108.38,390.63,1,5,0,1,59.15
CUST-1260,35,Month-to-Month,Credit Card,113.33,3590.2,1,31,0,1,202.51
CUST-1261,64,Month-to-Month,Mailed Check,105.87,6248.01,3,1,0,1,169.25
CUST-1262,49,One Year,Electronic Check,89.34,4063.06,0,23,0,0,974.95
CUST-1263,17,Month-to-Month,Credit Card,37.03,639.04,3,44,0,1,36.77
CUST-1264,44,One Year,Mailed Check,47.17,1937.28,3,26,1,1,57.53
CUST-1265,30,Two Year,Mailed Check,41.27,1294.27,2,8,0,0,471.36
CUST-1266,46,Month-to-Month,Electronic Check,80.36,3679.62,1,12,0,1,70.56
CUST-1267,6,One Year,Electronic Check,70.36,423.8,4,13,1,1,45.84
CUST-1268,37,Two Year,Credit Card,106.71,3682.44,2,10,1,0,1398.14
CUST-1269,24,Month-to-Month,Bank Transfer,115.27,2860.28,3,13,0,1,62.18
CUST-1270,46,Month-to-Month,Electronic Check,60.49,2783.02,2,15,1,1,112.9
CUST-1271,53,One Year,Electronic Check,70.64,3854.97,3,9,1,0,910.23
CUST-1272,60,One Year,Mailed Check,117.15,7334.57,0,19,1,0,1399.48
CUST-1273,63,Two Year,Mailed Check,47.62,2756.59,5,15,0,0,547.61
CUST-1274,32,Month-to-Month,Electronic Check,99.24,2904.12,3,33,1,1,183.93
CUST-1275,33,Two Year,Credit Card,42.52,1431.94,2,15,0,0,563.61
CUST-1276,67,Month-to-Month,Electronic Check,88.15,6082.75,4,13,0,1,166.27
CUST-1277,18,Month-to-Month,Electronic Check,45.36,806.33,1,27,1,1,69.17
CUST-1278,25,One Year,Bank Transfer,108.37,2587.06,2,17,0,0,1414.92
CUST-1279,54,Month-to-Month,Electronic Check,76.15,4103.44,1,25,1,1,73.29
CUST-1280,58,Month-to-Month,Credit Card,38.59,2117.02,2,37,0,1,47.48
CUST-1281,67,Month-to-Month,Bank Transfer,42.44,2660.81,0,6,0,1,59.88
CUST-1282,46,Month-to-Month,Bank Transfer,69.38,3106.02,1,44,1,1,131.11
CUST-1283,24,Month-to-Month,Electronic Check,116.16,2599.45,2,33,0,1,124.98
CUST-1284,32,Two Year,Electronic Check,96.96,3017.57,2,44,1,0,1167.97
CUST-1285,47,Month-to-Month,Electronic Check,68.83,3375.7,2,6,1,1,133.63
CUST-1286,23,One Year,Mailed Check,53.77,1268.82,3,32,1,1,39.17
CUST-1287,66,One Year,Bank Transfer,74.93,5149.35,1,34,0,0,925.28
CUST-1288,27,Two Year,Credit Card,94.84,2614.32,1,38,0,0,1165.18
CUST-1289,2,Month-to-Month,Bank Transfer,98.39,187.57,1,20,1,1,157.29
CUST-1290,17,Two Year,Credit Card,52.46,911.27,1,27,1,0,696.75
CUST-1291,33,Month-to-Month,Bank Transfer,92.12,3156.81,2,31,0,1,92.21
CUST-1292,9,One Year,Electronic Check,85.78,804.49,1,43,1,1,46.38
CUST-1293,43,One Year,Electronic Check,115.91,4996.49,1,15,1,1,226.85
CUST-1294,48,Two Year,Bank Transfer,113.11,5058.49,2,9,1,0,1552.9
CUST-1295,39,Month-to-Month,Electronic Check,98.94,3495.79,1,22,0,1,63.41
CUST-1296,42,One Year,Electronic Check,92.34,3576.08,3,14,0,0,1253.76
CUST-1297,26,Month-to-Month,Mailed Check,47.4,1287.65,2,42,0,1,66.72
CUST-1298,50,One Year,Credit Card,104.6,5069.51,1,5,0,1,186.25
CUST-1299,25,Two Year,Electronic Check,62.75,1613.06,1,32,1,0,718.97
CUST-1300,24,Month-to-Month,Bank Transfer,47.22,1099.01,1,38,0,1,51.19
CUST-1301,13,Two Year,Credit Card,58.42,758.79,2,11,1,0,731.2
CUST-1302,60,Month-to-Month,Mailed Check,103.59,5616.37,3,35,0,1,68.33
CUST-1303,7,Month-to-Month,Electronic Check,34.86,228.76,3,30,0,1,42.99
CUST-1304,57,Month-to-Month,Electronic Check,65.62,3611.08,4,9,0,1,76.38
CUST-1305,36,Month-to-Month,Bank Transfer,69.24,2479.17,3,33,0,1,57.06
CUST-1306,45,One Year,Bank Transfer,23.66,985.62,0,40,0,0,301.19
CUST-1307,20,Month-to-Month,Credit Card,39.57,803.02,1,9,0,1,77.19
CUST-1308,65,Month-to-Month,Mailed Check,102.67,6370.98,1,10,1,1,95.79
CUST-1309,8,Two Year,Electronic Check,103.08,843.29,1,13,0,1,84.54
CUST-1310,16,Two Year,Electronic Check,49.24,720.63,3,2,0,1,64.22
CUST-1311,14,Two Year,Bank Transfer,107.49,1507.81,3,32,1,1,161.93
CUST-1312,15,Two Year,Electronic Check,97.18,1376.07,3,6,0,1,154.29
CUST-1313,66,One Year,Electronic Check,61.79,4156.88,2,3,0,0,708.52
CUST-1314,32,Month-to-Month,Mailed Check,94.84,2914.47,1,38,0,1,52.66
CUST-1315,63,Month-to-Month,Electronic Check,116.13,7314.74,2,9,0,1,126.66
CUST-1316,51,One Year,Electronic Check,65.9,3495.83,2,14,1,0,707.16
CUST-1317,25,Month-to-Month,Mailed Check,43.84,989.79,2,15,0,1,81.42
CUST-1318,58,One Year,Electronic Check,114.18,5971.24,1,37,1,1,160.23
